endpoint_hash,reference,url
183450fefbf438a9,Endpoint/7e9253d5-5e8f-077c-2057-db745df24ee3,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
b6daa3627798f766,Endpoint/ec01a187-d69d-8b2f-2d26-294613ff4c79,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
ad4769aafabbdad1,Endpoint/c1ee420a-a9d8-1cf8-db19-6e8a155ec418,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
2cc87813e4d85412,Endpoint/e76de8cc-36fd-3831-153d-084ef8f13510,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
274359883be2ab40,Endpoint/6d9467ec-f986-2a58-f632-b617747b7a5a,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
90e2f339e19d7f57,Endpoint/2c6ec29f-2ff9-78b1-70ae-43117172ac10,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
609ae7b63e8c425b,Endpoint/d07d7e4b-1fcd-5c47-4695-f5a3f3622137,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
f662749b844e1b33,Endpoint/3d7df79b-07b6-0328-5d3e-186f6e4c94e3,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
87814ada03fb744a,Endpoint/b6a324ed-0232-1bb0-59b3-570854c099eb,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
1446055d73120bd8,Endpoint/f7addc3d-b804-3e5f-feb8-024872ee13f8,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
cf399089b9aca92f,Endpoint/40ac8fae-36f2-cc50-cb79-6ca544b55072,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
b5ee2649cc3f52c5,Endpoint/2332f7d8-3b8a-ae38-51fd-6125ea24ecb7,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
131e2d44119d06e5,Endpoint/d8448597-30cf-9e25-10c2-0d6d8317d3a2,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
ebd972b2d39362f9,Endpoint/47f30479-2053-e0d9-8435-15b906a6f7d1,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
df4a17ddd0f322f7,Endpoint/77554b42-3957-75d8-403c-526c32733cea,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
7f78c6946a60c747,Endpoint/b1a50b00-0216-8efd-e3b5-242480ef5c73,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
cdcc27613000822f,Endpoint/5ce4f1f0-b8c8-4554-f1f4-608937839e9e,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
03cd6d465b55db6e,Endpoint/37b67e7b-65ad-ecdd-652e-66827f467752,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
004acf129346c64e,Endpoint/4777f9da-9b39-81d1-741d-b8652744cc0b,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
68e844b05ff53cf8,Endpoint/3c718a5e-7619-007b-b126-b6cb6ce8c1ed,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
c7b449032ca13d42,Endpoint/b66bea67-7a37-d9b2-0c2a-9056f69bfac5,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
4eb55a7e21a41213,Endpoint/5176f546-2a03-6d1c-a663-6a1b56543e20,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
fbcca115801bf60f,Endpoint/35b10ea1-b47b-93f0-12ee-bdacc96f79ce,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
a79e6cb843e6bc77,Endpoint/c47d781f-abff-090a-e9a1-39cf89a94401,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
bf5ca193315d49a0,Endpoint/84ea1090-9e3e-18a5-c138-6fe24d490c6e,https://fhir.ipatientcare.net:9443/fhir-server/api/v4
